"Identificador de la publicación","Identificador de la cuenta","Nombre de usuario de la cuenta","Nombre de la cuenta",Descripción,"Duración (segundos)","Hora de publicación","Enlace permanente","Tipo de publicación","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Me gusta","Veces que se compartió",Seguimientos,Comentarios,"Veces que se guardó"
18102210263352943,17841417953448304,tintaysoda.stream,"Tinta y Soda","Se fue el Negro Rada y nos pusimos a pensar: ¿quedan figuras que representen al pueblo con esa fuerza o la masividad de hoy es otra cosa?

¿Quiénes son para vos los últimos grandes ídolos que nos quedan? 💬👇",36,"08/27/2026 13:57",https://www.instagram.com/reel/DcjsayOq6kR/,"Reel de Instagram",,Total,3184,2477,100,5,1,13,5
18029656784846236,17841417953448304,tintaysoda.stream,"Tinta y Soda","La ""PayPal Mafia"" y el plan para rediseñar el mundo 💼🌐

Peter Thiel lidera al grupo de ex-fundadores de PayPal que hoy financia las tecnologías más influyentes (y polémicas) del planeta.

🎙️ ¡Hoy nos vemos en vivo a las 17:30 hs! ¡Te esperamos!",41,"08/26/2026 08:00",https://www.instagram.com/reel/DcgfEc3BUYa/,"Reel de Instagram",,Total,468,352,16,3,0,0,1
18086038202237581,17841417953448304,tintaysoda.stream,"Tinta y Soda","MAÑANA EN TINTA Y SODA🥤

👶📉 Baja tasa de natalidad 

👔🚫 La moda de los ""outsiders"" 

🌎 El mapa geopolítico de Latinoamérica

También vuelve @marcosorteega 

🔴 Miramos en vivo mañana desde las 17:30 por nuestro canal de YouTube (link en nuestra bio).",0,"08/25/2026 16:39",https://www.instagram.com/p/Dce1nB1FGPw/,"Secuencia de Instagram",,Total,1029,330,26,1,0,3,0
18089854811443252,17841417953448304,tintaysoda.stream,"Tinta y Soda","El 90% de los chicos que apuestan lo hacen a través de billeteras virtuales. Al eliminar el dinero físico, se pierde la ""fricción"" de contar la plata y la noción real del gasto: un solo click basta para transferir sin sentir el peso de lo que se pierde.

La ludopatía digital en menores es una problemática que crece día a día. ¿Crees que debería haber mayores restricciones de acceso y control biométrico en estas apps? Los leemos 👇",42,"08/25/2026 14:00",https://www.instagram.com/reel/DcejdnkBeQ7/,"Reel de Instagram",,Total,747,525,20,1,0,0,0
17909683902281914,17841417953448304,tintaysoda.stream,"Tinta y Soda","Peter Thiel llevó la tecnología de The Dark Knight a la realidad con Palantir 👁️🏙️

Vigilancia masiva, análisis de datos y una oficina bautizada como ""Gotham"". La realidad siempre supera a la ficción.

¿Conocías la historia detrás de esta empresa? 👇",27,"08/25/2026 08:04",https://www.instagram.com/reel/Dcd6l1SO26h/,"Reel de Instagram",,Total,10745,7299,127,29,1,2,15
17949274116258334,17841417953448304,tintaysoda.stream,"Tinta y Soda","¿Sentís que ya no podés concentrarte ni 5 minutos seguidos? 📱😵‍💫 El algoritmo de TikTok, la sobreestimulación constante y la pérdida de retención que nos llena de ansiedad.

Mirá el debate completo en nuestro canal de YouTube (link en la bio) y prendete al próximo stream en vivo para charlar en el chat. 🔴💬

¿Cuánto tiempo aguantás sin mirar el teléfono? Te leemos abajo.",28,"08/24/2026 15:14",https://www.instagram.com/reel/DccHCXfKMv6/,"Reel de Instagram",,Total,1067,733,37,12,1,5,0
18007295015973246,17841417953448304,tintaysoda.stream,"Tinta y Soda","La plata virtual no duele tanto... hasta que la perdés. 📱💸 ¿Por qué es tan fácil timbear cuando solo son números en una pantalla?

Mirá el debate completo en nuestro canal de YouTube (link en bio) y sumate al próximo stream en vivo para charlar con nosotros. 🔴🎙️",32,"08/23/2026 15:29",https://www.instagram.com/reel/DcZj6L4qyDB/,"Reel de Instagram",,Total,3644,2656,63,4,1,2,2
18148091458526174,17841417953448304,tintaysoda.stream,"Tinta y Soda","Preguntar la hora o qué micro tomarte ahora nos causa ansiedad📱👀 ¿En qué momento nos volvimos tan tímidos en la calle?

🥤 Mirá el debate completo en el último programa de Tinta y Soda ya subido a nuestro canal de YouTube (link en la biografía).",25,"08/23/2026 11:03",https://www.instagram.com/reel/DcZFETqKC5F/,"Reel de Instagram",,Total,5972,4694,62,3,2,2,9
18112253363007002,17841417953448304,tintaysoda.stream,"Tinta y Soda","¿Mendoza como refugio nuclear para multimillonarios? ☢️🏔️ Peter Thiel ya tiene el plan.

🔗 Para saber más sobre este personaje tan particular, podés ver nuestro último programa en el canal de YouTube.",32,"08/22/2026 15:03",https://www.instagram.com/reel/DcW8I1NKI2d/,"Reel de Instagram",,Total,4420,3108,50,4,0,3,6
17888937792436214,17841417953448304,tintaysoda.stream,"Tinta y Soda","Nos desacostumbramos a esperar.

🔗 Podés ver el programa completo en nuestro canal de YouTube.",17,"08/22/2026 08:30",https://www.instagram.com/reel/DcWPYaKBlpb/,"Reel de Instagram",,Total,2466,2003,29,3,1,2,4
17958307269078968,17841417953448304,tintaysoda.stream,"Tinta y Soda","🚫 Apuestas, fútbol y varones: la necesidad de demostrar que sabés 

🔗 Si querés saber todo sobre las apuestas deportivas y casinos online, ya podés mirar el programa completo en nuestro canal de YouTube",46,"08/21/2026 12:55",https://www.instagram.com/reel/DcUIWvtKgao/,"Reel de Instagram",,Total,3285,2322,69,5,1,1,7
18091532981643349,17841417953448304,tintaysoda.stream,"Tinta y Soda","¿Por qué estaban disfrazados de Gandalf? Acá la respuesta.

🔗 Ya está disponible nuestro último programa en el canal de YouTube. Link en bio.",39,"08/20/2026 15:11",https://www.instagram.com/reel/DcRzI_Bq9cv/,"Reel de Instagram",,Total,1065,741,36,8,0,1,4
18106744876885723,17841417953448304,tintaysoda.stream,"Tinta y Soda","8 de cada 10 trabajadores sufren ajustes alimentarios en su jornada laboral según el Observatorio de la Deuda Social Argentina de la UCA.

👉🏼 Programa completo disponible en YouTube.",36,"08/17/2026 08:17",https://www.instagram.com/reel/DcJVvnVOQMb/,"Reel de Instagram",,Total,1964,1426,34,4,0,0,4
18060972725758179,17841417953448304,tintaysoda.stream,"Tinta y Soda","Un poco de geopolítica de la mano de Marquitos 🤝🏼

Si queres saber más sobre el contexto de las migraciones a Ceuta podes ver el último programa por Youtube 🌎",55,"08/16/2026 17:09",https://www.instagram.com/reel/DcHtAouqqCe/,"Reel de Instagram",,Total,2001,1478,31,8,0,1,2
18011128139748153,17841417953448304,tintaysoda.stream,"Tinta y Soda","El 12 de agosto la UNLP cumplió 121 años y en Tinta y Soda lo celebramos conversando sobre su importancia 🙌🏼

📎Programa completo disponible en nuestro canal de YouTube.",33,"08/16/2026 08:00",https://www.instagram.com/reel/DcGvEOSBxiK/,"Reel de Instagram",,Total,1641,906,47,1,0,0,2
18103466729586360,17841417953448304,tintaysoda.stream,"Tinta y Soda","La Universidad Pública en la vida de los pueblos. Defendámosla.

🔗 Ya podés ver el último programa en nuestro canal de YouTube.",28,"08/13/2026 12:10",https://www.instagram.com/reel/Db_c2uEKWWd/,"Reel de Instagram",,Total,2834,1877,72,3,1,0,5
17897397693582957,17841417953448304,tintaysoda.stream,"Tinta y Soda","Menos mal que bajaron este capítulo 🫣

Cintia Mansilla (@cintiamansillalp), secretaria de Hábitat de La Plata, pasó por Tinta y Soda y habló sobre el intento del Gobierno Nacional de modificar la Ley de Tierras.

🔴 Mirá Tinta y Soda en vivo HOY a las 17:30. Se viene programón.",31,"08/12/2026 08:46",https://www.instagram.com/reel/Db8g3oKuKB8/,"Reel de Instagram",,Total,1346,838,25,3,1,1,4
18161433316478947,17841417953448304,tintaysoda.stream,"Tinta y Soda","Mañana probamos cosas nuevas 😎

🔴 Nos vemos a las 17:30 hs por nuestro canal de YouTube",43,"08/11/2026 16:20",https://www.instagram.com/reel/Db6v2hXKwzM/,"Reel de Instagram",,Total,1047,613,35,0,0,1,2
